title,pub_date
" Google Is Set to Trade After Selling Shares at $85  Google, conceding that demand for its long-awaited public stock offering had fallen far short of the company's hopes, reduced the number of shares and drastically reduced the target price range.       The final price was $85, far off the target range of $108 to $135 a share that the company had projected last month. The company's shares are expected to begin trading today on the Nasdaq market. [Page A1.]",2004-08-19T05:00:00+0000
"Floyd Norris comment on Google offering notes that investors' hesitance about offering cost insiders millions of dollars; notes Google's top executives wound up taking out only a third as much as they had hoped when company priced its offering; venture capitalists, who had nurtured Google and had expected to take out more money than anyone else, wound up not selling any shares at all; Google prices its offering at $85 a share, far below $108 to $135 it had been expecting and at bottom of new range it sets; in process, it also has to scale back number of shares being sold by selling stockholders; table shows shares held by Google's top executives, and venture capital firms (M)",2004-08-19T05:00:00+0000
" INTERNATIONAL   A3-18    Rebel Cleric Reaches Out; Fending Off U.S. Attack  The rebel cleric Moktada al-Sadr sent messages of conciliation that appeared to have staved off an imminent assault on his fortress in Iraq's holiest Shiite shrine. Mr. Sadr suggested he would vacate the shrine, disband the Mahdi Army, and transform it into a political party.   A1    Iraq took its first step toward a constitutional democracy, selecting a national assembly in a jumbled process that was never even put to a vote.   A12",2004-08-19T05:00:00+0000
Basics column roundup of educational software for primary and secondary school students; Web sites noted; photos (M),2004-08-19T05:00:00+0000
"Google reduces number of shares in its long-awaited public stock offering, concluding its unorthodox online auction by accepting price well below its original target; actions reflect fact that demand has fallen far short of company's hopes; final price is $85, far off target range of $108 to $135 a share that was projected last month; pared-down offering of 19.6 million shares, down from 25.7 million, will raise $1.66 billion for Google, its founders and some early investors; two big early investors, Kleiner Perkins Caufield & Byers and Sequoia Capital, withdraw their combined 4.5 million shares from auction, betting they can get better price at some point in future; big question is whether stock price will receive big opening-day run-up; photo (M)",2004-08-19T05:00:00+0000
"Google stock closed today at $100.34 a share, about 18 percent above the $85 price set in the I.P.O. on Wednesday.",2004-08-19T05:00:00+0000
"Price of Google shares rises 18 percent in first day of trading, to just above $100, which is about where it would have landed if this had been typical IPO rather than Dutch auction chosen by company's founders; closing price gives company market valuation of more than $27 billion; shares are bought, sold and flipped during day, disappointing founders' hope that unorthodox offering would attract bidders who would buy its stock as long-term investment; there now appears to have been little substance to idea that Google was bucking Wall Street's establishment by seriously undercutting fees investment bankers typically receive in taking companies public; company is paying its bankers fee of 2.8 percent of $1.67 billion raised in auction, which is said to be comparable to fees charged in other deals of this size; photo (M)",2004-08-20T05:00:00+0000
"Editorial says Google's unusual initial public offering deprived Wall St banks of full control over sale, making it easier for individual investors to buy stock; says 'Dutch auction' that Google relied on has much to commend it; hopes last-minute gaffes by Google will not dissuade other companies from using this method",2004-08-20T05:00:00+0000
" INTERNATIONAL   A3-12    Allawi Warns Rebel Cleric: Disarm and Vacate Shrine  Iraq's prime minister, Ayad Allawi, gave what he described as a final warning to the rebel Shiite cleric Moktada al-Sadr, saying Mr. Sadr should move quickly to fulfill his vow to disarm and leave the shrine in Najaf where his followers have been battling U.S. troops for weeks.   A1    Crude oil futures jumped to a record $48.70 a barrel on concern that Iraqi exports may drop further because of clashes in southern Iraq between American troops and fighters loyal to Mr. Sadr.   C5",2004-08-20T05:00:00+0000
Investors' hesitance about Google's offering has cost some very important people — the insiders — millions of dollars..Google's top executives wound up with only about one-third as much as they had hoped when the company priced its offering,2004-08-20T05:00:00+0000
